,time,wind10,angle10,wind30,angle30,wind50,angle50,temp,atmosphere,humidity,power
0,2019-01-01 00:00:00,2.209,81.317,1.991,74.814,2.094,77.667,-13.484,889.867,76.32,0.254383
1,2019-01-01 00:15:00,1.828,77.46,1.698,75.048,1.757,88.733,-13.691,889.575,76.757,0.329703
2,2019-01-01 00:30:00,2.193,86.7,2.313,84.688,2.344,89.1,-13.766,889.942,76.981,0.296306
3,2019-01-01 00:45:00,2.654,78.16,2.494,74.939,2.574,87.267,-13.691,889.675,76.821,0.18759
4,2019-01-01 01:00:00,2.249,94.297,2.192,91.14,2.558,96.9,-13.447,890.025,74.571,0.081005
5,2019-01-01 01:15:00,1.974,92.933,1.98,91.921,2.049,97.0,-13.983,889.692,71.808,0.189721
6,2019-01-01 01:30:00,2.22,105.19,2.336,98.886,2.408,110.533,-14.014,889.967,70.816,0.265041
7,2019-01-01 01:45:00,1.953,104.733,2.287,98.843,2.507,104.5,-14.149,889.45,69.525,0.241593
8,2019-01-01 02:00:00,2.276,87.833,2.407,84.094,2.541,94.3,-14.116,890.0,69.824,0.184037
9,2019-01-01 02:15:00,2.583,62.593,2.718,65.815,2.781,76.333,-14.183,889.808,75.029,0.119375
10,2019-01-01 02:30:00,2.125,83.333,2.957,79.623,2.737,91.3,-14.166,889.542,77.312,0.30128
11,2019-01-01 02:45:00,2.238,98.3,2.113,98.282,1.753,105.3,-14.149,890.05,77.035,0.508055
12,2019-01-01 03:00:00,2.576,105.067,2.352,99.336,2.099,104.2,-14.266,889.683,74.261,1.082193
13,2019-01-01 03:15:00,2.552,109.367,2.137,100.764,1.811,108.8,-14.099,889.358,71.36,0.537188
14,2019-01-01 03:30:00,2.258,107.533,2.036,98.808,1.884,106.2,-14.116,888.7,69.643,0.156325
15,2019-01-01 03:45:00,2.544,106.833,2.012,100.042,1.784,105.567,-13.899,889.95,68.501,0.724778
16,2019-01-01 04:00:00,1.838,103.367,1.317,98.583,1.229,101.6,-14.233,890.483,67.467,0.226671
17,2019-01-01 04:15:00,2.051,76.767,1.977,77.711,1.923,79.0,-14.249,889.858,67.328,0.218855
18,2019-01-01 04:30:00,1.576,64.407,1.633,66.143,1.793,72.0,-14.133,890.133,68.075,0.366652
19,2019-01-01 04:45:00,1.531,94.38,1.792,91.502,1.917,99.0,-14.278,889.933,68.384,0.333966
20,2019-01-01 05:00:00,1.44,94.28,1.744,92.199,1.678,101.133,-14.641,890.217,68.011,0.328282
